Total Price,Cost/Square Ft,Square Ft,Bedroom,Bathroom,Contact
₹ 54.23 Lac,"₹ 8,636/sq.ft.",628 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-wise-city-panvel-navi-mumbai-628-sq-ft-npspid-Z49037501
₹ 19.94 - 27.98 Lac,"₹ 8,188/sq.ft.",243-341 sq.ft.,1 RK,1 Bath,https://www.99acres.com/studio-apartment-flat-for-sale-in-guru-sai-janardhan-residency-wahal-mumbai-navi-244-sq-ft-to-341-sq-ft-npspid-I49046049
₹ 1.25 Cr,"₹ 9,615/sq.ft.","1,300 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-the-residency-apartment-sector-2a-kopar-khairane-mumbai-navi-1300-sq-ft-r1-spid-M47007605
₹ 60 Lac,"₹ 9,230/sq.ft.",650 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-20-kharghar-mumbai-navi-650-sq-ft-spid-V48790113
₹ 58.42 - 58.86 Lac,"₹ 10,391/sq.ft.",562-566 sq.ft.,2 BHK,3 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-belmac-riverside-new-panvel-navi-mumbai-562-sq-ft-to-566-sq-ft-npspid-Y48975697
₹ 1.05 Cr,"₹ 9,813/sq.ft.","1,070 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-juhi-niharika-residency-sector-34-b-kharghar-mumbai-navi-1070-sq-ft-spid-K48892951
₹ 45 Lac,"₹ 6,923/sq.ft.",650 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-2-ulwe-mumbai-navi-650-sq-ft-spid-O49003033
₹ 75 Lac,"₹ 8,721/sq.ft.",860 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-sansar-complex-sector-5-new-panvel-east-mumbai-navi-860-sq-ft-r2-spid-Z39968307
₹ 1.53 Cr,"₹ 11,906/sq.ft.","1,285 sq.ft.",3 BHK,2 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-20b-airoli-mumbai-navi-1285-sq-ft-r1-spid-V42396811
₹ 45 Lac,"₹ 6,766/sq.ft.",665 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-aum-apartment-ulwe-navi-mumbai-665-sq-ft-spid-P49045797
₹ 2.05 Cr,"₹ 11,325/sq.ft.","1,810 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rna-ng-grand-plaza-ghansoli-navi-mumbai-1810-sq-ft-spid-G48768223
₹ 1.5 Cr,"₹ 12,244/sq.ft.","1,225 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-crystals-sector-35d-kharghar-mumbai-navi-1225-sq-ft-spid-I48251643
₹ 1.1 Cr,"₹ 14,864/sq.ft.",740 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-16a-nerul-mumbai-navi-740-sq-ft-spid-H49021759
₹ 90 Lac,"₹ 8,571/sq.ft.","1,050 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-metro-tulsi-kamal-sector-10-kharghar-mumbai-navi-1050-sq-ft-spid-E48376379
₹ 57 Lac,"₹ 7,916/sq.ft.",720 sq.ft.,1 BHK,3 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-mahi-kripa-ranjanpada-mumbai-navi-720-sq-ft-r1-spid-R47618273
₹ 48 Lac,"₹ 4,173/sq.ft.","1,150 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-r-d-parvati-enclave-taloja-mumbai-others-1150-sq-ft-spid-N49050089
₹ 75 Lac,"₹ 6,382/sq.ft.","1,175 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-21-ulwe-mumbai-navi-1175-sq-ft-spid-F48823207
₹ 82 Lac,"₹ 8,200/sq.ft.","1,000 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-neelsidhi-amarante-kalamboli-navi-mumbai-1000-sq-ft-spid-H48975211
₹ 1.3 Cr,"₹ 10,400/sq.ft.","1,250 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-thane-belapur-road-navi-mumbai-1250-sq-ft-spid-A48938637
₹ 74.99 - 82.95 Lac,"₹ 16,574/sq.ft.",452-500 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-aurum-q-residences-ghansoli-navi-mumbai-453-sq-ft-to-500-sq-ft-npspid-D49046025
₹ 1.21 - 1.23 Cr,"₹ 19,000/sq.ft.",638-645 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-aurum-q-residences-ghansoli-navi-mumbai-638-sq-ft-to-645-sq-ft-npspid-L49046023
₹ 1.21 - 1.23 Cr,"₹ 19,000/sq.ft.",638-645 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-aurum-q-residences-ghansoli-navi-mumbai-638-sq-ft-to-645-sq-ft-npspid-J48964387
₹ 86.21 Lac - 1.02 Cr,"₹ 36,982/sq.ft.",233-277 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bhairaav-gold-crest-residency-ghansoli-navi-mumbai-233-sq-ft-to-277-sq-ft-npspid-R48952463
₹ 78 Lac,"₹ 11,711/sq.ft.",666 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sai-proviso-sapphire-roadpali-mumbai-navi-666-sq-ft-npspid-T48382607
₹ 1.92 Cr,"₹ 16,590/sq.ft.","1,160 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-aurum-q-residences-ghansoli-navi-mumbai-1160-sq-ft-npspid-T49046021
₹ 1.46 Cr,"₹ 29,976/sq.ft.",488 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-neelkanth-sunberry-ghansoli-navi-mumbai-488-sq-ft-npspid-Q48952513
₹ 1.91 Cr,"₹ 14,692/sq.ft.","1,300 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-juhi-greens-sector-50-seawoods-mumbai-navi-1300-sq-ft-spid-E48789203
₹ 95 Lac,"₹ 8,050/sq.ft.","1,180 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-devkrupa-patel-paradise-sector-35-e-kharghar-mumbai-navi-1180-sq-ft-spid-D49030561
₹ 34 Lac,"₹ 5,112/sq.ft.",665 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lk-damayanti-residency-taloja-panchanand-navi-mumbai-665-sq-ft-npspid-Z48530349
₹ 75 Lac,"₹ 8,333/sq.ft.",900 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-6-kharghar-mumbai-navi-900-sq-ft-spid-S48685059
₹ 38.25 - 38.79 Lac,"₹ 9,000/sq.ft.",425-431 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-meluha-shilphata-mumbai-navi-425-sq-ft-to-431-sq-ft-npspid-F48750769
₹ 44 Lac,"₹ 4,170/sq.ft.","1,055 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-arihant-anshula-taloja-mumbai-others-1055-sq-ft-spid-R48273125
₹ 1.1 Cr,"₹ 9,683/sq.ft.","1,136 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-adhiraj-gardens-sector-5-kharghar-mumbai-navi-1136-sq-ft-spid-Y49045985
₹ 52 Lac,"₹ 8,666/sq.ft.",600 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-20-kharghar-mumbai-navi-600-sq-ft-spid-Q49001465
₹ 75 Lac,"₹ 22,455/sq.ft.",334 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ak-orchid-sector-12-kharghar-mumbai-navi-334-sq-ft-npspid-M49029151
₹ 1.1 Cr,"₹ 14,968/sq.ft.",734 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-fortune-city-panvel-navi-mumbai-735-sq-ft-npspid-Q48841215
₹ 1.56 - 1.71 Cr,"₹ 12,000/sq.ft.","1,299-1,427 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-rna-ng-grand-plaza-ghansoli-navi-mumbai-1299-sq-ft-to-1427-sq-ft-npspid-C48935025
₹ 25 Lac,"₹ 5,000/sq.ft.",500 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-mahir-paramount-heights-taloja-mumbai-others-500-sq-ft-spid-X48070273
₹ 1.35 Cr,"₹ 10,931/sq.ft.","1,235 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-koperkhairane-navi-mumbai-1235-sq-ft-spid-O48956251
₹ 62 Lac,"₹ 5,871/sq.ft.","1,056 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ashtavinayak-heights-taloja-panchanand-navi-mumbai-1056-sq-ft-spid-V48823537
₹ 1.6 Cr,"₹ 13,559/sq.ft.","1,180 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-concrete-sai-sthaan-sector-29-nerul-mumbai-navi-1180-sq-ft-spid-P49040393
₹ 1.3 Cr,"₹ 23,575/sq.ft.",551 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ak-orchid-sector-12-kharghar-mumbai-navi-551-sq-ft-npspid-T49029149
₹ 1.16 Cr,"₹ 11,600/sq.ft.","1,000 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-11-belapur-navi-mumbai-1000-sq-ft-spid-P48533817
₹ 44 Lac,"₹ 10,000/sq.ft.",440 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-marathon-nexzone-new-panvel-navi-mumbai-440-sq-ft-npspid-T49027713
₹ 98 Lac,"₹ 14,411/sq.ft.",680 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-21-nerul-mumbai-navi-680-sq-ft-spid-E48733833
₹ 65 Lac,"₹ 9,878/sq.ft.",658 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-kharghar-navi-mumbai-658-sq-ft-spid-K48798287
₹ 1.8 Cr,"₹ 17,143/sq.ft.","1,050 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nri-complex-phase-1-sector-58-seawoods-mumbai-navi-1050-sq-ft-r2-spid-S40304259
₹ 1.8 Cr,"₹ 22,359/sq.ft.",805 sq.ft.,3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ak-orchid-sector-12-kharghar-mumbai-navi-805-sq-ft-npspid-W49029147
₹ 80 Lac,"₹ 12,030/sq.ft.",665 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-36-seawoods-mumbai-navi-665-sq-ft-r1-spid-G47492133
₹ 65 Lac,"₹ 6,565/sq.ft.",990 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-ganesh-apartment-sector-23-ulwe-mumbai-navi-990-sq-ft-spid-G49028095
₹ 2.2 Cr,"₹ 11,549/sq.ft.","1,905 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-c-teja-signature-sector-30-belapur-mumbai-navi-1905-sq-ft-r5-spid-Z37258097
₹ 1.9 - 1.91 Cr,"₹ 13,286/sq.ft.","1,430-1,435 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tricity-promenade-sector-38-seawoods-mumbai-navi-1430-sq-ft-to-1435-sq-ft-npspid-Q48948167
₹ 1.7 - 1.85 Cr,"₹ 16,037/sq.ft.","1,060-1,155 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tricity-promenade-sector-38-seawoods-mumbai-navi-1060-sq-ft-to-1155-sq-ft-npspid-W48948163
₹ 3.5 Cr,"₹ 10,000/sq.ft.","3,500 sq.ft.",4 BHK,4 Baths,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ashtavinayak-kharghar-one-sector-21-kharghar-mumbai-navi-3500-sq-ft-npspid-J48672547
₹ 2.9 Cr,"₹ 12,083/sq.ft.","2,400 sq.ft.",4 BHK,4 Baths,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-koperkhairane-navi-mumbai-2400-sq-ft-r2-spid-I44929031
₹ 65.92 - 71.28 Lac,"₹ 8,000/sq.ft.",824-891 sq.ft.,2 BHK,3 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-greens-panvel-navi-mumbai-824-sq-ft-to-891-sq-ft-npspid-Z48978461
₹ 80 Lac,"₹ 7,692/sq.ft.","1,040 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-infra-millenium-icon-sector-9-ulwe-mumbai-navi-1040-sq-ft-spid-A49027205
₹ 1.6 Cr,"₹ 10,666/sq.ft.","1,500 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sai-yashvasin-sector-27-kharghar-mumbai-navi-1500-sq-ft-spid-L48878487
₹ 45 Lac,"₹ 6,428/sq.ft.",700 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-23-ulwe-mumbai-navi-700-sq-ft-spid-F49002727
₹ 58 Lac,"₹ 8,345/sq.ft.",695 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-21-ghansoli-mumbai-navi-695-sq-ft-spid-K48005957
₹ 75 Lac,"₹ 7,614/sq.ft.",985 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-elite-homes-sector-35-e-kharghar-mumbai-navi-985-sq-ft-r1-spid-R45701947
₹ 36 - 42.75 Lac,"₹ 6,250/sq.ft.",576-684 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-belmac-riverside-new-panvel-navi-mumbai-576-sq-ft-to-684-sq-ft-npspid-O48989227
₹ 50 Lac,"₹ 7,142/sq.ft.",700 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-18-kamothe-mumbai-navi-700-sq-ft-spid-O48959619
₹ 40 Lac,"₹ 6,349/sq.ft.",630 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-navkar-jinete-park-sector-23-ulwe-mumbai-navi-630-sq-ft-r2-spid-J42164847
₹ 37.9 Lac,"₹ 8,064/sq.ft.",470 sq.ft.,2 BHK,3 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-crown-taloja-mumbai-others-470-sq-ft-npspid-A49032757
₹ 1.07 Cr,"₹ 12,050/sq.ft.",888 sq.ft.,3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-marathon-nexzone-new-panvel-navi-mumbai-888-sq-ft-npspid-S48978311
₹ 48 Lac,"₹ 8,275/sq.ft.",580 sq.ft.,1 RK,1 Bath,https://www.99acres.com/studio-apartment-flat-for-sale-in-span-exotica-sector-20-ulwe-mumbai-navi-580-sq-ft-r1-spid-Q47723217
₹ 49.89 Lac,"₹ 8,955/sq.ft.",557 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-park-panvel-navi-mumbai-557-sq-ft-npspid-G48979459
₹ 35 Lac,"₹ 6,294/sq.ft.",556 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-deep-city-panvel-navi-mumbai-556-sq-ft-spid-T49001389
₹ 1.1 Cr,"₹ 10,837/sq.ft.","1,015 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-belapur-navi-mumbai-1015-sq-ft-spid-W48615995
₹ 40 Lac,"₹ 6,441/sq.ft.",621 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-reddys-orion-ulwe-navi-mumbai-621-sq-ft-spid-C48562245
₹ 80 Lac,"₹ 12,326/sq.ft.",649 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-kunal-2-sector-21-nerul-mumbai-navi-649-sq-ft-spid-N48809781
₹ 90 Lac,"₹ 13,846/sq.ft.",650 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sanjeevani-vrindavan-sector-19-airoli-mumbai-navi-650-sq-ft-r1-spid-W46440045
₹ 1.19 Cr,"₹ 9,520/sq.ft.","1,249 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-park-panvel-navi-mumbai-1250-sq-ft-npspid-R48979457
₹ 1.1 Cr,"₹ 14,968/sq.ft.",734 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-fortune-city-panvel-navi-mumbai-735-sq-ft-npspid-E48983991
₹ 71.5 Lac,"₹ 15,729/sq.ft.",454 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-fortune-city-panvel-navi-mumbai-455-sq-ft-npspid-M48983939
₹ 69.84 Lac,"₹ 9,983/sq.ft.",699 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-park-panvel-navi-mumbai-700-sq-ft-npspid-Z48979455
₹ 58 Lac,"₹ 6,041/sq.ft.",960 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dronagiri-navi-mumbai-960-sq-ft-spid-P48425009
₹ 62.41 Lac,"₹ 10,742/sq.ft.",581 sq.ft.,2 BHK,3 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-marathon-nexzone-new-panvel-navi-mumbai-581-sq-ft-npspid-V48978313
₹ 55 Lac,"₹ 8,730/sq.ft.",630 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-9-ulwe-mumbai-navi-630-sq-ft-spid-Q46282621
₹ 85 Lac,"₹ 8,947/sq.ft.",950 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pride-chamunda-avenue-sector-23-ghansoli-mumbai-navi-950-sq-ft-spid-K48605597
₹ 48 Lac,"₹ 6,956/sq.ft.",690 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-riverdale-taloja-panchanand-navi-mumbai-690-sq-ft-r1-spid-N45747081
₹ 1.2 Cr,"₹ 7,058/sq.ft.","1,700 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-anmol-planet-sector-10-kharghar-mumbai-navi-1700-sq-ft-r1-spid-L47648593
₹ 1.6 Cr,"₹ 12,800/sq.ft.","1,250 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-42-seawoods-mumbai-navi-1250-sq-ft-spid-H49023385
₹ 1.07 - 1.22 Cr,"₹ 13,113/sq.ft.",816-931 sq.ft.,3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-balaji-symphony-new-panvel-navi-mumbai-816-sq-ft-to-931-sq-ft-npspid-M48979377
₹ 79.9 Lac - 1.1 Cr,"₹ 13,141/sq.ft.",608-837 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-balaji-symphony-new-panvel-navi-mumbai-608-sq-ft-to-837-sq-ft-npspid-D48979375
₹ 69.5 Lac,"₹ 6,233/sq.ft.","1,115 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-riverdale-taloja-panchanand-navi-mumbai-1115-sq-ft-spid-B48342471
₹ 79.93 - 88.42 Lac,"₹ 17,666/sq.ft.",452-500 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-aurum-q-residences-ghansoli-navi-mumbai-453-sq-ft-to-500-sq-ft-npspid-M48964389
₹ 54 Lac,"₹ 8,120/sq.ft.",665 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-span-exotica-sector-20-ulwe-mumbai-navi-665-sq-ft-r1-spid-Y47718773
₹ 90.6 Lac,"₹ 29,954/sq.ft.",302 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-neelkanth-sunberry-ghansoli-navi-mumbai-302-sq-ft-npspid-N48952519
₹ 42 Lac,"₹ 6,315/sq.ft.",665 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-dhwisha-classic-tower-taloja-mumbai-others-665-sq-ft-spid-F48956861
₹ 68.46 Lac,"₹ 8,800/sq.ft.",778 sq.ft.,3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dosti-planet-north-shilphata-mumbai-navi-778-sq-ft-npspid-H48942763
₹ 85 Lac,"₹ 8,333/sq.ft.","1,020 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shagun-white-wings-sector-23-ulwe-mumbai-navi-1020-sq-ft-spid-M48704597
